@relation R_data_frame

@attribute ANAPHYLAXIS {FALSE,TRUE}
@attribute ARTCO2 {HIGH,LOW,NORMAL}
@attribute BP {HIGH,LOW,NORMAL}
@attribute CATECHOL {HIGH,NORMAL}
@attribute CO {HIGH,LOW,NORMAL}
@attribute CVP {HIGH,LOW,NORMAL}
@attribute DISCONNECT {FALSE,TRUE}
@attribute ERRCAUTER {FALSE,TRUE}
@attribute ERRLOWOUTPUT {FALSE,TRUE}
@attribute EXPCO2 {HIGH,LOW,NORMAL,ZERO}
@attribute FIO2 {LOW,NORMAL}
@attribute HISTORY {FALSE,TRUE}
@attribute HR {HIGH,LOW,NORMAL}
@attribute HRBP {HIGH,LOW,NORMAL}
@attribute HREKG {HIGH,LOW,NORMAL}
@attribute HRSAT {HIGH,LOW,NORMAL}
@attribute HYPOVOLEMIA {FALSE,TRUE}
@attribute INSUFFANESTH {FALSE,TRUE}
@attribute INTUBATION {ESOPHAGEAL,NORMAL,ONESIDED}
@attribute KINKEDTUBE {FALSE,TRUE}
@attribute LVEDVOLUME {HIGH,LOW,NORMAL}
@attribute LVFAILURE {FALSE,TRUE}
@attribute MINVOL {HIGH,LOW,NORMAL,ZERO}
@attribute MINVOLSET {HIGH,LOW,NORMAL}
@attribute PAP {HIGH,LOW,NORMAL}
@attribute PCWP {HIGH,LOW,NORMAL}
@attribute PRESS {HIGH,LOW,NORMAL,ZERO}
@attribute PVSAT {HIGH,LOW,NORMAL}
@attribute SAO2 {HIGH,LOW,NORMAL}
@attribute SHUNT {HIGH,NORMAL}
@attribute STROKEVOLUME {HIGH,LOW,NORMAL}
@attribute TPR {HIGH,LOW,NORMAL}
@attribute VENTALV {HIGH,LOW,NORMAL,ZERO}
@attribute VENTLUNG {HIGH,LOW,NORMAL,ZERO}
@attribute VENTMACH {HIGH,LOW,NORMAL,ZERO}
@attribute VENTTUBE {HIGH,LOW,NORMAL,ZERO}

@data
FALSE,HIGH,LOW,HIGH,LOW,LOW,FALSE,FALSE,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,TRUE,FALSE,NORMAL,FALSE,LOW,TRUE,ZERO,NORMAL,NORMAL,LOW,LOW,LOW,LOW,NORMAL,LOW,HIGH,ZERO,ZERO,NORMAL,LOW
FALSE,HIGH,HIGH,HIGH,HIGH,NORMAL,FALSE,FALSE,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,LOW,HIGH,FALSE,FALSE,NORMAL,FALSE,NORMAL,FALSE,ZERO,NORMAL,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL,ZERO,ZERO,NORMAL,LOW
FALSE,HIGH,NORMAL,HIGH,HIGH,NORMAL,FALSE,FALSE,TRUE,LOW,NORMAL,FALSE,HIGH,NORMAL,HIGH,HIGH,FALSE,FALSE,NORMAL,FALSE,NORMAL,FALSE,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,ZERO,ZERO,NORMAL,LOW
FALSE,HIGH,NORMAL,HIGH,HIGH,LOW,FALSE,FALSE,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,FALSE,NORMAL,FALSE,LOW,FALSE,ZERO,NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,NORMAL,LOW,ZERO,ZERO,NORMAL,LOW
FALSE,HIGH,HIGH,HIGH,HIGH,HIGH,FALSE,FALSE,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,TRUE,FALSE,NORMAL,FALSE,HIGH,FALSE,ZERO,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,HIGH,ZERO,ZERO,NORMAL,LOW
FALSE,HIGH,NORMAL,NORMAL,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,FALSE,ZERO,NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,ZERO,ZERO,NORMAL,LOW
FALSE,HIGH,HIGH,HIGH,HIGH,NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,TRUE,FALSE,NORMAL,FALSE,HIGH,FALSE,ZERO,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,ZERO,ZERO,NORMAL,LOW
FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,TRUE,FALSE,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,FALSE,NORMAL,FALSE,NORMAL,FALSE,ZERO,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO
FALSE,HIGH,HIGH,HIGH,HIGH,HIGH,FALSE,FALSE,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,TRUE,FALSE,NORMAL,FALSE,HIGH,FALSE,ZERO,NORMAL,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,ZERO,ZERO,NORMAL,LOW
FALSE,NORMAL,LOW,HIGH,LOW,HIGH,TRUE,FALSE,FALSE,ZERO,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,TRUE,FALSE,NORMAL,FALSE,HIGH,FALSE,HIGH,NORMAL,NORMAL,HIGH,HIGH,NORMAL,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,ZERO
